央视频道,#genre#
CCTV-10科教,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8#http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/9092756522938817434/index.m3u8?channel-id=bestzb&Contentid=9092756522938817434&livemode=1&stbId=004003FF0029452831008422F155922C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=9092756522938817434&owchid=bestzb&owsid=4493204831455231193&AuthInfo=gcH3ssn3REG54mXPerWCi56XJ2Urs2SNIGZ7J0zskzvi8i3cj6671FT1ZAhLU6JQT9a3V5n9%2fymys6jXVSm7WvZDIeu%2f1lLHoO5qp40pjmytLJWpd9ZXTmmM59QP6yvU
CCTV-11戏曲,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12社会,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-13新闻,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14少儿,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8#http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/4698841642605267773/index.m3u8?channel-id=bestzb&Contentid=4698841642605267773&livemode=1&stbId=004003FF0054805450008422F156021C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=4698841642605267773&owchid=bestzb&owsid=4493204831455266368&AuthInfo=hZkn3vHGhq4VvDzmzr4iVEHqo%2bvzF6rKA%2b8OSN8w0NBeBAiwbiztWgyQwzn8jrXqRnTn9qssoyuTaz8kN6jS4cYG4Wtqw%2f9GA6z30f3PSa2RbGYR9aFXtJD4jiOxxIfw
CCTV-15音乐,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-17农村,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV-5⁺体育,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-4K超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000266302.m3u8#http://111.0.27.30/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8#http://119.167.204.72/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8#http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CETV-1中国教育台,http://39.135.34.8:18890/000000001000/1000000002000027253/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA032459
CETV-3中国教育台,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8?_res_tag_=video
CETV-4中国教育台,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8?_res_tag_=video
CGTN-国际电视台,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
卫视频道,#genre#
湖南卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226162/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226162/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8#http://60.255.149.251/tslive/c213_scc_20190618_akukisvc_original_r10/c213_scc_20190618_akukisvc_original_r10.m3u8#http://ivi.bupt.edu.cn/hls/hunanhd.m3u8#http://125.210.152.18:9090/live/HNWSHD_H265.m3u8#http://121.31.30.90:8085/ysten-business/live/hdhunanstv/1.m3u8#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=6&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1#http://223.110.245.168:80/PLTV/4/224/3221227320/index.m3u8?UserName=18851042983&MAC=8C:6D:50:4C:91:52&OTTUserToken=18851042983-8C:6D:50:4C:91:52&accountinfo=yvxefADiHI1MXW5gaIZO5hiIlKSLiJtBXQdhumM1dH2IsIJmP1UxBAq03L3WxNlzfOIX59FPdAado7h9s5ZUS0%2BwWipdMTdABhAgmyZ6eCInHWFxcrFmvuJWNAVngpA%2BhJUfhG5b8ph7R%2Fk1sRD6%2Fw%3D%3D%3A20180401121949%2C18851042983%2C112.25.7.202%2C20180401121949%2CG_HUNAN-HQ%2C1B4CEFC7EE6192335ED71DF86C50D75E%2C%2C0%2C1%2C-1%2C%2C2%2C2000007279%2C2%2C-3%2C2%2CEND&GuardEncType=2&servicetype=1&icpid=88888888&from=5&hms_devid=43
浙江卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8#http://39.135.34.18:18890/000000001000/1000000001000009806/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA031400#http://60.255.149.251/tslive/c214_scc_20190618_oxkugonc_original_r10/c214_scc_20190618_oxkugonc_original_r10.m3u8
东方卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226161/1.m3u8#http://39.135.34.6:18890/000000001000/1000000001000030202/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA034481#http://111.40.205.87/PLTV/88888888/224/3221225735/index.m3u8#http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=22&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1#http://121.31.30.90:8085/ysten-business/live/hddongfangstv/1.m3u8#https://116.77.72.195/streams/d/dfws/playlist.m3u8#http://60.255.149.251/tslive/c211_scc_20190618_5hqsk5u4_original_r10/c211_scc_20190618_5hqsk5u4_original_r10.m3u8
江苏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225887/1.m3u8#http://60.255.149.251/tslive/c214_scc_20190618_wazeadpo_original_r10/c214_scc_20190618_wazeadpo_original_r10.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=001&Provider_id=&Pcontent_id=index.m3u8#http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000152.m3u8&t=hls
北京卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8#http://60.255.149.251/tslive/c214_scc_20190617_t0j0qeca_original_r10/c214_scc_20190617_t0j0qeca_original_r10.m3u8
天津卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8#http://60.255.149.251/tslive/c211_scc_20190618_f31q4x2s_original_r10/c211_scc_20190618_f31q4x2s_original_r10.m3u8
深圳卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225897/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8#http://39.135.34.15:18890/000000001000/1000000001000011645/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA037706
山东卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226308/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225894/1.m3u8#http://39.135.34.6:18890/000000001000/1000000001000012807/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA033101
湖北卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225884/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8#http://39.135.34.16:18890/000000001000/6956052407855047826/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA037827
辽宁卫视,http://39.135.34.19:18890/000000001000/1000000002000024033/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA035171#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226336/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225889/1.m3u8
安徽卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225873/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8#http://39.135.34.8:18890/000000001000/4774346722046993363/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA035639
广东卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225878/1.m3u8#http://60.255.149.251/tslive/c214_scc_20190618_5utbuoav_original_r10/c214_scc_20190618_5utbuoav_original_r10.m3u8
东南卫视,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8#http://112.50.243.4/PLTV/88888888/224/3221226877/1.m3u8
珠江卫视,http://39.135.34.15:18890/000000001000/1000000004000011655/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA031981
江西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225888/1.m3u8#http://39.135.34.11:18890/000000001000/1000000001000013731/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA039197
四川卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225898/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225898/1.m3u8#http://39.135.34.15:18890/000000001000/1000000002000016825/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA031444
贵州卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8#http://39.135.34.20:18890/000000001000/1000000002000003169/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA032847
广西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8#http://39.135.34.22:18890/000000001000/1000000002000019837/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA034282
重庆卫视,http://39.135.34.4:18890/000000001000/1000000002000018937/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA035324#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226337/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225904/1.m3u8
河南卫视,http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/henan_2_hd.m3u8
河北卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8#http://39.135.34.15:18890/000000001000/1000000002000017118/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA035309
海南卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8#http://39.135.34.22:18890/000000001000/7899627377857656087/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA031881
南方卫视,http://nclive.grtn.cn/tvs2/sd/live.m3u8
甘肃卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000294603.m3u8#http://ivi.bupt.edu.cn/hls/gstv.m3u8
青海卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000294703.m3u8#http://39.135.34.4:18890/000000001000/1000000002000013359/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA036011
山西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8#http://39.135.34.20:18890/000000001000/1000000002000021220/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA033392
云南卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225902/1.m3u8#http://39.135.34.16:18890/000000001000/1000000002000024694/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA033213
陕西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8#http://39.135.34.19:18890/000000001000/1000000002000007495/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA038916
吉林卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8#http://39.135.34.8:18890/000000001000/6042486520432105075/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA031101
宁夏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8#http://39.135.34.8:18890/000000001000/1000000002000031451/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA037183
龙江卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225883/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8#http://39.135.34.139:18890/000000001000/1000000001000001925/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA036449
内蒙卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8#http://39.135.34.18:18890/000000001000/1000000002000014080/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA035183
新疆卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8#http://39.135.34.12:18890/000000001000/1000000002000029441/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA032944
西藏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8#http://ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8#http://39.135.34.5:18890/000000001000/6603041244077933770/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA034549
港澳频道,#genre#
有线新闻,http://103.56.112.40/ddjgt.php?id=31#http://45.134.83.45/aazz.php?id=31#http://103.56.112.40/ddjgt.php?id=31
无线新闻,http://103.56.112.40/ddjgt.php?id=9#http://103.56.112.40/ddjgt.php?id=9
翡翠台,http://iptv.ensinar.cn/XG.php?id=1
无线财经,http://prdsecurelive.ainemo.com/live/234cjcj.m3u8#http://103.56.112.40/ddjgt.php?id=10
凤凰中文,http://103.56.112.40/ddjgt.php?id=2
凤凰资讯,http://103.56.112.40/ddjgt.php?id=3
星空卫视,http://103.56.112.40/ddjgt.php?id=18
TVB明珠台,http://103.56.112.40/ddjgt.php?id=13#P2p://sdgdklwos.finetv.tv:9906/59fd0d0a0009323a02476cb020fe16f9#P2p://sdgdklwos.finetv.tv:9906/59fd0d0a0009323a02476cb020fe16f9#P2p://sdgdklwos.finetv.tv:9906/5ad32b590006aefa49ec511272c5262e
TVB翡翠台,http://103.56.112.40/ddjgt.php?id=1#P2p://sdgdklwos.finetv.tv:9906/5ad32c0d0000bbd049ef0eab717740e2#P2p://sdgdklwos.finetv.tv:9906/5a562a0b000d7041619b441d562d5ee8#P2p://sdgdklwos.finetv.tv:9906/5a562a0b000d7041619b441d562d5ee8
TVB J2,http://103.56.112.40/ddjgt.php?id=12#P2p://sdgdklwos.finetv.tv:9906/5ad32b7d000cca4049ecdf4812f47470#P2p://sdgdklwos.finetv.tv:9906/59fd25e80008aaec02a88fc1476f2edf
Viu TV,http://103.56.112.40/ddjgt.php?id=8
澳门卫视,http://103.56.112.40/ddjgt.php?id=23
澳亚卫视,http://103.56.112.40/ddjgt.php?id=24
TVB财经台,http://prdsecurelive.ainemo.com/live/234cjcj.m3u8
功夫,http://61.147.122.14/flv.live.xylive.tv/live/0030.flv
天映经典,http://pull.scphsd.com/live/7ca7e3f1b9c65583f281a1d68ec9b1b8.flv
澳门有线③台,http://202.175.127.77/live/show/ch3/index.m3u8
澳门有线①台,http://202.175.127.77/live/show/ch1/index.m3u8
澳门有线②台,http://202.175.127.77/live/show/ch2/index.m3u8
三立新闻台,http://60.199.188.65/HLS/WG_ETTV-N/index.m3u8
TVBS新闻台,http://60.199.188.65/HLS/WG_TVBS-N/index.m3u8
HKS卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
DOXTV,https://pull.scphsd.com/live/3994b62ffdcc450a8034b03729b723a8.flv
凤凰卫视中文,https://pull.scphsd.com/live/3f00775a3581449c852c42dcbce8dbdf.flv
凤凰卫视资讯,https://pull.scphsd.com/live/257536cb64e448738088e3650e816214.flv
TVB功夫,https://pull.scphsd.com/live/5c57700caa72473c8843cbead1849f1b.flv
靖天资讯HD,http://61.58.60.230:9319/live/202.m3u8
靖天娱乐HD,http://61.58.60.230:9319/live/204.m3u8
靖洋戏剧HD,http://61.58.60.230:9319/live/203.m3u8
靖天国际HD,http://61.58.60.230:9319/live/205.m3u8
靖洋卡通HD,http://61.58.60.230:9319/live/206.m3u8
靖天卡通HD,http://61.58.60.230:9319/live/207.m3u8
靖天日本HD,http://61.58.60.230:9319/live/243.m3u8
靖天映画HD,http://61.58.60.230:9319/live/244.m3u8
寰宇新聞臺,p8p://0198.02686.cc:16871/5d1a69ba0007750411bdf59a5aa4b66d.ts
翡翠臺,p8p://0198.02686.cc:16871/5d1a69fb000eb19011bef55c89140144.ts
無綫新聞,p8p://0198.02686.cc:16871/5d1a69dc000d64b611be7bef5757286e.ts
明珠臺,p8p://0198.02686.cc:16871/5d1a69de0005348e11be81a666c79a56.ts
J2,p8p://0198.02686.cc:16871/5d1a6990000c457811bd52c53e48f6b9.ts
TVB星河,p8p://0198.02686.cc:16871/5d1a69940005adb211bd60b57a4af31b.ts
RTHK31,p8p://0198.02686.cc:16871/5d495caf000f16ce956b79188dfc18de.ts
鳳凰資訊,p8p://0198.02686.cc:16871/5d1a69d90003dbfb11be6dc698fb9973.ts
鳳凰衛視,p8p://0198.02686.cc:16871/5d1a69d80007b1db11be6ad9e2339543.ts
鳳凰香港,p8p://0198.02686.cc:16871/5d1a69d6000505cd11be625a06b24e50.ts
好消息1,p8p://0198.02686.cc:16871/5d1a69b9000b139e11bdf29f39814479.ts
動物星球,p8p://0198.02686.cc:16871/5d1a69da000a2acf11be734ba3f44eda.ts
卡通頻道,p8p://0198.02686.cc:16871/5d1a69b3000e2d1e11bddbfa8c491af8.ts
東森幼幼,p8p://0198.02686.cc:16871/5d416a580007131b7660d3322e8b0a5f.ts
三立臺灣,p8p://0198.02686.cc:16871/5d1a69ae00025bef11bdc56ba098b443.ts
JET綜合,p8p://0198.02686.cc:16871/5d1a69a7000abe1711bdac390219d138.ts
三立戲劇臺,p8p://0198.02686.cc:16871/5d1a69f90000ad2611bee9f55d87748f.ts
三立綜合臺,p8p://0198.02686.cc:16871/5d1a69fa0007d2f011beefb295d4d371.ts
壹電視新聞臺,p8p://0198.02686.cc:16871/5d1a69b6000b8d0a11bde706a99c146a.ts
年代新聞,p8p://0198.02686.cc:16871/5d1a69bb000e0fd711bdfb32923ec02b.ts
東森新聞,p8p://0198.02686.cc:16871/5d1a69c2000a678211be159b7e5802a8.ts
